"id";"name";"description";"price";"categoryId";"productId";"typeId";"localDataSheet";"onlineDataSheet";"iconPath";"manufacturerId";"locationId";"amount";"amountType";"orderState";"packageId";"rating";"discourageOrder";"remark";"isSet";"dimensionTypeId"
128;"MCT0603PD1002DP500";"Thin Film Resistors - SMD .250W 10Kohms .5% 0603 25ppm Hi Power ";0.0;3;31;43;"";"http://www.mouser.com/ds/2/427/mcx0x0xpro-223600.pdf";"MCS0402_series_SPL.jpg";35;1;10;3;0;36;0.0;0;"";0;3
129;"MCT0603PD1001DP500";"Thin Film Resistors -  SMD .250W 1Kohms .5% 0603 25ppm Hi Power";0.0;3;31;43;"";"http://www.mouser.com/ds/2/427/mcx0x0xpro-223600.pdf";"MCS0402_series_SPL.jpg";35;1;10;3;0;36;0.0;0;"";0;3
130;"MCT06030Z0000ZP500";"Thin Film Resistors -  SMD Zero ohm Jumper";0.0;3;31;43;"";"http://www.mouser.com/ds/2/427/mcx0x0xpro-223600.pdf";"mcs.JPG";35;1;10;3;0;36;0.0;0;"";0;3
131;"MCT06030C1009FP500";"Thin Film Resistors - SMD .1W  10ohms 1% 0603 50ppm Auto";0.0;3;31;43;"";"http://www.mouser.com/ds/2/427/mcx0x0xpro-223600.pdf";"MCA-MCU.jpg";35;1;20;3;0;36;0.0;0;"";0;3
132;"MCT06030C1000FP500 ";"Thin Film Resistors - SMD .1W 100ohm  1% 0603 50ppm Auto";0.0;3;31;43;"";"http://www.mouser.com/ds/2/427/mcx0x0xpro-223600.pdf";"MCA-MCU.jpg";35;1;50;3;0;36;0.0;0;"";0;3
133;"MCT06030C1001FP500 ";"Thin Film Resistors - SMD .1W  1Kohm 1% 0603 50ppm Auto";0.0;3;31;43;"";"http://www.mouser.com/ds/2/427/mcx0x0xpro-223600.pdf";"MCA-MCU.jpg";35;1;50;3;0;36;0.0;0;"";0;3
134;"MCT06030C1002FP500";"Thin Film Resistors - SMD .1W  10Kohms 1% 0603 50ppm Auto";0.0;3;31;43;"";"http://www.mouser.com/ds/2/427/mcx0x0xpro-223600.pdf";"MCA-MCU.jpg";35;1;50;3;0;1;0.0;0;"";0;3
135;"Through hole R set";"Through hole resistor set 5% 1/4W";0.0;3;31;34;"";"";"";1;73;1;0;0;39;0.0;0;"";1;10
136;"SMD R set 0805";"SMD resistor set 0805 5% 1/4W";0.0;3;31;1;"";"";"";1;273;1;0;0;39;0.0;0;"";1;10
137;"Ceramic capacitor kit ";"Capacitor kit through hole ";0.0;3;11;35;"";"";"";45;3;1;0;0;39;0.0;0;"";1;10
138;"REA022M2CBK-0511P";"Aluminium Electrolytic Capacitors - Leaded 160V 2.2uF 20% 5x11mm";0.0;3;11;12;"";"";"";13;12;5;0;0;53;0.0;0;"";0;10
139;"REA047M2CBK-0511P";"Aluminium Electrolytic Capacitors - Leaded 160V 4.7uF 20% 5x11mm";0.0;3;11;12;"";"";"";13;18;8;0;0;53;0.0;0;"";0;1
141;"REA220M2CBK-0511P";"Aluminium Electrolytic Capacitors - Leaded 160V 22uF 20% 5x11mm";0.0;3;11;12;"";"";"";13;30;9;0;0;53;0.0;0;"";0;10
142;"REA470M2CBK-0511P";"Aluminium Electrolytic Capacitors - Leaded 160V 47uF 20% 5x11mm";0.0;3;11;12;"";"";"";13;7;14;0;0;53;0.0;0;"";0;10
143;"REA101M2CBK-0511P";"Aluminium Electrolytic Capacitors - Leaded 160V 100uF 20% 5x11mm";0.0;3;11;12;"";"";"";13;13;5;0;0;53;0.0;0;"";0;10
